Titulo,Acervo[Nome],Acervo[Autor],Acervo[Data],Acervo[Origem],Acervo[Material],Acervo[Descricao],Acervo[Dimensoes],Acervo[Nucleo],Acervo[Classificacao],Acervo[imagem],Acervo[thumb],Acervo[categorias]
M-0519,[[prato]],[[Manufatura  de Capodimonte]],[[Século XIX]]/[[1830-1890]],[[Itália]]/[[Nápoles]],Porcelana branca com policromia e tinta dourada com alto-relevo.,Par (M-0518). Decorado com motivos florais e anjos.,"2,3 x 24,3 d.",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0519.jpg,[[Imagem:M0519.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Manufatura  de Capodimonte]][[Categoria:Origem/Itália/Nápoles]][[Categoria:Data/Século XIX/1830-1890]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0520,[[recipiente]],[[Autor desconhecido]],[[Século XX]],[[Brasil(?)]],Prata,Sem descrição,"1,9 x 9,0 diâm.",[[Prataria - Uso]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0520.jpg,[[Imagem:M0520.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Brasil(?)]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Prataria - Uso]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0521,[[xícara]],[[Rue de la Roquette - Jerome Vincent Dubois]],[[Século XVIII]]/[[1774-1790]],[[França]]/[[Paris]],Porcelana branca com frisos dourados,Conjunto prato (M-0522). Decorada com feixes de trigo.,"6,9 x 11,8 x 9,8 d.",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0521.jpg,[[Imagem:M0521.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Rue de la Roquette - Jerome Vincent Dubois]][[Categoria:Origem/França/Paris]][[Categoria:Data/Século XVIII/1774-1790]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0522,[[Prato]],[[Rue de la Roquette - Jerome Vincent Dubois]],[[Século XVIII]]/[[1774-1790]],[[França]]/[[Paris]],porcelana branca com frisos dourados,Conjunto xícara (M-0521). Decorado com feixes de trigo.,"2,1 x 19 d.",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0522.jpg,[[Imagem:M0522.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Rue de la Roquette - Jerome Vincent Dubois]][[Categoria:Origem/França/Paris]][[Categoria:Data/Século XVIII/1774-1790]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0523,[[travessa]],[[Autor desconhecido]],[[Século XIX]],[[China]],Porcelana policromada e vidrada.,Fundo branco com frisos pintados em vermelho férreo. Formato octogonal. Porcelana chinesa de exportação.,"3,6 x 38,7 x 30,8",[[Arte Oriental]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0523.jpg,[[Imagem:M0523.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0524,[[xícara de chá]],[[Autor desconhecido]],[[Século XIX(?)]],[[França(?)]],Porcelana policromada e dourada.,Decorada com motivos florais em dourado e preto.,"9,5 x 9,7 x 7,7 (na borda)",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0524.jpg,[[Imagem:M0524.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França(?)]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0525,[[caixa com miniatura]],[[Autor desconhecido]],[[Século XVIII]],[[França(?)]],"Madeira, marfim (osso?), tartaruga, metal dourado, aquarela e vidro.",Com retrato de dama na tampa.,"2,3 x 6,1 diâm.",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Acessórios de Interiores]],Imagem:M0525.jpg,[[Imagem:M0525.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França(?)]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Acessórios de Interiores]]
M-0526,[[xícara]],[[Georg Heufel]],[[Século XIX]]/[[1880-1900]],[[Alemanha]]/[[Dresden]],"Porcelana policromada com frisos dourados. ",Decorada com cena campestre.,"3,9 x 5,9",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0526.jpg,[[Imagem:M0526.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Georg Heufel]][[Categoria:Origem/Alemanha/Dresden]][[Categoria:Data/Século XIX/1880-1900]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0527,[[recipiente]],[[Autor desconhecido]],[[Data desconhecida]],[[Origem desconhecida]],Material desconhecido,Sem descrição,Dimensões desconhecidas,[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0527.jpg,[[Imagem:M0527.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Origem desconhecida]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0528,[[xícara com tampa]],"[[Manufatura de Porcelana de Sèvres. André Vincent Vieillard (1717-1790), pinturas]]",[[Século XVIII]]/[[1765]],[[França]]/[[Sèvres]],Porcelana policromada com frisos dourados.,Decorada com cenas pastorais no pires e na resrva lateral. Pegador em forma de rosa.,"6,0 x 9,7 x 7,8 (na tampa)",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0528.jpg,[[Imagem:M0528.jpg|thumb|center|250px]],"[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Manufatura de Porcelana de Sèvres. André Vincent Vieillard (1717-1790), pinturas]][[Categoria:Origem/França/Sèvres]][[Categoria:Data/Século XVIII/1765]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]"
M-0529,[[pombos da paz]],[[Clóvis Graciano]],[[Século XX]]/[[1972]],[[Brasil]],Serigrafia sobre papel,Tiragem 11\80,"40,0 x 40,0",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Gravura]],Imagem:M0529.jpg,[[Imagem:M0529.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Clóvis Graciano]][[Categoria:Origem/Brasil]][[Categoria:Data/Século XX/1972]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Gravura]]
M-0530,[[Xícara]],[[Autor desconhecido]],[[Século XVIII(?)]],[[Áustria]],Porcelana branca com friso dourado.,Decorada com cena rural.,"10,4 x 10,7 x 8,4 (na borda)",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0530.jpg,[[Imagem:M0530.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Áustria]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0531,[[figura de santo (?)]],[[Autor desconhecido]],[[Século XVIII(?)]],[[Peru]],Óleo sobre tela colada em cartão.,Sem descrição,"20,0 x 15,6 irreg.",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Pintura]],Imagem:M0531.jpg,[[Imagem:M0531.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Peru]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Pintura]]
M-0532,[[moldura de perfil de camarim de igreja]],[[Mestre Valentim da Fonseca e Silva]],[[Século XIX]],[[Brasil]]/[[Rio de Janeiro]],madeira entalhada pintada e dourada,Par M-1277. Provavelmente fragmento da peça completa.,"40 x 300 cm ap. ",[[Arte Brasileira - Século XVIII e XIX]],[[Classificação]]/[[Construção ]]/[[ Fragmentos de Construção]],Imagem:M0532.jpg,[[Imagem:M0532.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Mestre Valentim da Fonseca e Silva]][[Categoria:Origem/Brasil/Rio de Janeiro]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Brasileira - Século XVIII e XIX]][[Categoria:Classificação/Construção / Fragmentos de Construção]]
M-0533,[[xícara]],[[Manufatura de Porcelana de Viena]],[[Século XIX]]/[[1828-1830]],[[Áustria]]/[[Viena]],porcelana dourada com policromia.,Decorada com cena rural e anjos.,"10,8 x 12,4 x 10,4 d.",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0533.jpg,[[Imagem:M0533.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Manufatura de Porcelana de Viena]][[Categoria:Origem/Áustria/Viena]][[Categoria:Data/Século XIX/1828-1830]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0534,[[descanso para talher]],[[Gallia Christofle. Desenho de Édouard-Marcel Sandoz]],[[Século XX]]/[[1950\1960]],[[França]],Prata fundida.,"7 exemplares, em forma de animais.","a: 2,5x8,0x2,2; b: 1,9 x19,2x1,8; c: 4,3x8,1x2,0; d: 3,0x11,0x2,1; e: 1,9x9,4x2,1; f: 2,2x8,2x1,6; g:2,4x9,3x2,4",[[Prataria - Uso]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0534.jpg,[[Imagem:M0534.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Gallia Christofle. Desenho de Édouard-Marcel Sandoz]][[Categoria:Origem/França]][[Categoria:Data/Século XX/1950\1960]][[Categoria:Núcleo/Prataria - Uso]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0535,[[xícara]],[[Autor desconhecido]],[[Século XIX]],[[França]],porcelana dourada com policromia,"Estilo ""Vieux Paris"". Decorada com retrato de Diane du Poitiers.","12,2 x 11,4 x 9,0 (na borda)",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0535.jpg,[[Imagem:M0535.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0536,[[bule de chá com réchaud (veilleuse)]],[[Manufatura Real de Porcelana de Berlim]],[[Século XVIII\XIX(?)]],[[Alemanha]]/[[Berlim]],Porcelana policromada e dourada.,Decorado com paisagem campestre,"10,1 x 16,2 ",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0536.jpg,[[Imagem:M0536.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Manufatura Real de Porcelana de Berlim]][[Categoria:Origem/Alemanha/Berlim]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0537,[[xícara]],[[Lorenz Hutschenreuther]],[[Século XX]]/[[1925-1939]],[[Alemanha]]/[[Selb]],porcelana policromada com frisos dourados.,Fundo azul e motivos florais em relevo dourado.,"7,3 x 7,5 x 5,7 d. (na borda)",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0537.jpg,[[Imagem:M0537.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Lorenz Hutschenreuther]][[Categoria:Origem/Alemanha/Selb]][[Categoria:Data/Século XX/1925-1939]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0538,[[travessa]],[[C. J. V. Ld.]],[[Século XX]]/[[1960]],[[Inglaterra]]/[[Londres]],Prata,Sem descrição,"3,1 x 60,6 x 45,5",[[Prataria - Uso]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0538.jpg,[[Imagem:M0538.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/C. J. V. Ld.]][[Categoria:Origem/Inglaterra/Londres]][[Categoria:Data/Século XX/1960]][[Categoria:Núcleo/Prataria - Uso]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0539,[[bule para chá com réchaud]],[[Manufatura Real de Porcelanas de Meissen]],[[Século XIX(?)]],[[Alemanha]]/[[Meissen]],Porcelana policromada com relevo; metal dourado.,Formato bola. Motivos florais em relevo.,"27,5 x 27,5 x 20,1",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0539.jpg,[[Imagem:M0539.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Manufatura Real de Porcelanas de Meissen]][[Categoria:Origem/Alemanha/Meissen]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0540,[[travessa]],[[C. J. V. Ld.]],[[Século XX]]/[[1960]],[[Inglaterra]]/[[Londres]],Prata,Sem descrição,"2,4 x 40,0 diam.",[[Prataria - Uso]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0540.jpg,[[Imagem:M0540.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/C. J. V. Ld.]][[Categoria:Origem/Inglaterra/Londres]][[Categoria:Data/Século XX/1960]][[Categoria:Núcleo/Prataria - Uso]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0541,[[fff moldura]],[[Autor desconhecido]],[[final do Século XIX]]/[[início do Século XX]],[[Alemanha]]/[[Europa Central(?)]],Madeira entalhada e dourada,Sem descrição,"39,0 x 44,5 x 3,0                      janela - 27,5 x 33,0",[[Núcleo desconhecido]],[[Classificação desconhecida]],Imagem:M0541.jpg,[[Imagem:M0541.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha/Europa Central(?)]][[Categoria:Data/final do Século XIX/início do Século XX]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Classificação desconhecida]]
M-0542,[[lenda etíope]],[[Autor desconhecido]],[[Século XX(?)]],[[Etiópia]],Guache (?) sobre tecido.,Em cartão de Cortesia da Segy Gallery,"21,2 x 22,0 irreg.",[[Arte Africana]],[[Classificação]]/[[Artes Visuais ]]/[[ Pintura]],Imagem:M0542.jpg,[[Imagem:M0542.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Etiópia]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Artes Visuais / Pintura]]
M-0543,[[travessa]],[[C. J. V. Ld.]],[[Século XX]]/[[1960]],[[Inglaterra]]/[[Londres]],Prata,Sem descrição,"2,4 x 40,0 diam.",[[Prataria - Uso]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0543.jpg,[[Imagem:M0543.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/C. J. V. Ld.]][[Categoria:Origem/Inglaterra/Londres]][[Categoria:Data/Século XX/1960]][[Categoria:Núcleo/Prataria - Uso]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0544,[[copo]],[[Autor desconhecido]],[[Século XX]],[[Alemanha]],Cristal lapidado e friso dourado.,Sem descrição,"7,4 x 6,4 d. irregular",[[Arte Oriental]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0544.jpg,[[Imagem:M0544.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0545,[[copo]],[[Autor desconhecido]],[[Século XX]],[[Alemanha]],"Cristal lapidado, com alto-relevo e friso dourado.",Decorado com figura de casal.,"6,4 x 6,6 d. irregular",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0545.jpg,[[Imagem:M0545.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0546,[[copo]],[[Autor desconhecido]],[[Século XX]],[[Alemanha]],"Cristal lapidado, com alto-relevo e friso dourado.",Decorado com figura feminina e anjos.,"7,7 x 7,0 d irregular.",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0546.jpg,[[Imagem:M0546.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0547,[[copo]],[[Autor desconhecido]],[[Século XX]],[[Alemanha]],Cristal jateado?; pigmento? em cor amarela.,Decorado com representação de templo.,"8,3 x 8,2 d (na borda). Base: 4,5 d.",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0547.jpg,[[Imagem:M0547.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0548,[[taça]],[[Autor desconhecido]],[[Século XX]],[[Alemanha]],Cristal lapidado com alto-relevo.,Decorada com representação de pássaros.,"10,7 x 8,3 x 6,8 (na borda). Base: 7,7 d.",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0548.jpg,[[Imagem:M0548.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0549,[[taça]],[[Autor desconhecido]],[[Século XX]],[[Alemanha]],Cristal lapidado com alto-relevo.,Sem descrição,"10,7 x 8,3 x 6,8. Base: 7,6 d.",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0549.jpg,[[Imagem:M0549.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0550,[[taça]],[[Autor desconhecido]],[[Século XX]],[[Alemanha]],Cristal lapidado com alto-relevo.,Sem descrição,"7,0 x 9,3 x 7,6 ( na borda).",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0550.jpg,[[Imagem:M0550.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0551,[[copo]],[[Autor desconhecido]],[[Século XX]],[[Alemanha]],"Cristal lapidado, com alto-relevo",Decorado com figuras de meninos.,"7,9 x 6,3 d (na borda). Na base: 4,1 d.",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0551.jpg,[[Imagem:M0551.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0552,[[jarra]],[[Autor desconhecido]],[[Século XX]],[[Alemanha]],Cristal lapidado; metal.,Sem descrição,"27,7 x 14,1 x 10,4",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0552.jpg,[[Imagem:M0552.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0553,[[garrafa]],[[Autor desconhecido]],[[Século XX]],[[Alemanha]],Cristal lapidado.,Sem descrição,"34,1 x 13,2 x 11,4",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0553.jpg,[[Imagem:M0553.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0554,[[recipiente para saquê]],[[Autor desconhecido]],[[Século XX]],[[China]],Porcelana policromada.,"Porcelana chinesa tipo chocolate, com reservas família rosa. Decorado com motivos florais em cor laranja.","13,4 x 12,1 d. Com suporte: 15,9 h",[[Arte Oriental]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0554.jpg,[[Imagem:M0554.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0555,[[Recipiente para saquê]],[[Autor desconhecido]],[[Século XX]],[[China]],Porcelana policromada.,"Porcelana chinesa tipo chocolate, com reservas família rosa. Decorado com motivos florais em cor de rosa.","13,9 x 12,5 d. Com suporte: 16,5 h",[[Arte Oriental]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0555.jpg,[[Imagem:M0555.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0556,[[conjunto de recipientes para servir carnes]],[[Autor desconhecido]],[[Século XX]],[[China]],porcelana policromada e madeira.,Dez peças: bandeja e 9 recipientes (a-i),"5,9 x 48 d.",[[Arte Oriental]],[[Classificação]]/[[Interiores ]]/[[ Utensílios de Cozinha\Mesa]],Imagem:M0556.jpg,[[Imagem:M0556.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Interiores / Utensílios de Cozinha\Mesa]]
M-0557,[[mesa de centro]],[[Autor desconhecido]],[[Data desconhecida]],[[Origem desconhecida]],Material desconhecido,Sem descrição,Dimensões desconhecidas,[[Mobiliário Europeu]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0557.jpg,[[Imagem:M0557.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Origem desconhecida]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0558,[[banqueta]],[[Autor desconhecido]],[[Data desconhecida]],[[Origem desconhecida]],Material desconhecido,Sem descrição,Dimensões desconhecidas,[[Mobiliário Europeu]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0558.jpg,[[Imagem:M0558.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Origem desconhecida]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0559,[[banqueta]],[[Autor desconhecido]],[[Data desconhecida]],[[Origem desconhecida]],Material desconhecido,Sem descrição,Dimensões desconhecidas,[[Mobiliário Europeu]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0559.jpg,[[Imagem:M0559.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Origem desconhecida]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0560,[[figura de ancião em paisagem miniatura]],[[Autor desconhecido]],[[Data desconhecida]],[[Origem desconhecida]],Material desconhecido,Sem descrição,Dimensões desconhecidas,[[Arte Oriental]],[[Classificação desconhecida]],Imagem:M0560.jpg,[[Imagem:M0560.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Origem desconhecida]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Classificação desconhecida]]
