Titulo,Acervo[Nome],Acervo[Autor],Acervo[Data],Acervo[Origem],Acervo[Material],Acervo[Descricao],Acervo[Dimensoes],Acervo[Nucleo],Acervo[Classificacao],Acervo[imagem],Acervo[thumb],Acervo[categorias]
M-0428,[[Título::suporte para lenha (CHenet)]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::França]],[[Material::Bronze]],[[Descrição::Par M-0429. Estilo Luis XV. Com figura de fauno tocando flauta e castanholas.]],[[Dimensões::31 x 46 x 53 cm]],[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Condicionadores de Temperatura]],Imagem:M0428.jpg,[[Imagem:M0428.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores/Condicionadores de Temperatura]]
M-0429,[[Título::suporte para lenha (CHenet)]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::França]],[[Material::Bronze]],[[Descrição::Par M-0428. Estilo Luis XV. Com figura de fauno com pandeiro.]],"[[Dimensões::31,5 x 45,5 x 54 cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Condicionadores de Temperatura]],Imagem:M0429.jpg,[[Imagem:M0429.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores/Condicionadores de Temperatura]]
M-0430,[[Título::porta-espadas]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]],[[Origem::Itália]],[[Material::madeira entalhada e dourada; tecido de veludo; ferragens]],[[Descrição::Para três espadas. Revestido com veludo cor verde.]],[[Dimensões::84 x 139 x 20cm]],[[Núcleo::Mobiliário Europeu]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Peças de Mobiliário]],Imagem:M0430.jpg,[[Imagem:M0430.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Itália]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores/Peças de Mobiliário]]
M-0431,[[Título::colar]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]],[[Origem::Índia]],"[[Material::casca de árvore ou fruto, entalhada em alto-relevo; metal]]","[[Descrição::Com representações de divindades. Composta de 19 peças de formato e tamanho diferentes, com 42 peças de junção unidas por argolas de metal.]]",[[Dimensões::74 h ap.]],[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Objetos Pessoais ]]/[[SubClassificação:: Objeto de Adorno]],Imagem:M0431.jpg,[[Imagem:M0431.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Índia]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Objetos Pessoais/Objeto de Adorno]]
M-0432,[[Título::Retrato de moça (MinA KLABIN?)]],[[Autoria de::Israel(?)]],[[Datação::Século XX]],[[Origem::Itália]]/[[SubOrigem::Capri]],[[Material::Grafite e pastel sobre papel cinza.]],[[Descrição::Sem descrição]],"[[Dimensões::Oval, 42,3 x 33,0 irreg.]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Desenho]],Imagem:M0432.jpg,[[Imagem:M0432.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Israel(?)]][[Categoria:Origem/Itália/Capri]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Desenho]]
M-0433,[[Título::tastevin]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX(?)]],[[Origem::França]],[[Material::Prata martelada.]],[[Descrição::Sem descrição]],"[[Dimensões::2,4 x 6,5 d. Com alça: 2,4 x 8,5 x 6,5]]",[[Núcleo::Prataria - Exposição]],[[Classificação]]/[[Classificação::Trabalho ]]/[[SubClassificação:: Equipamento de uso geral]],Imagem:M0433.jpg,[[Imagem:M0433.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Prataria - Exposição]][[Categoria:Classificação/Trabalho/Equipamento de uso geral]]
M-0434,[[Título::apito]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]]/[[SubDatação::c.1820]],[[Origem::Inglaterra]],[[Material::Prata; madrepérola]],[[Descrição::Com chocalhos. Estilo Georgiano.]],"[[Dimensões::15,5 x 5,0 x 6,0 ap.]]",[[Núcleo::Prataria - Exposição]],[[Classificação]]/[[Classificação::Comunicação ]]/[[SubClassificação:: Equipamentos de Comunicação Sonora\Visual]],Imagem:M0434.jpg,[[Imagem:M0434.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Inglaterra]][[Categoria:Data/Século XIX/c.1820]][[Categoria:Núcleo/Prataria - Exposição]][[Categoria:Classificação/Comunicação/Equipamentos de Comunicação Sonora\Visual]]
M-0435,[[Título::relevo]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]],[[Origem::Itália]],[[Material::Prata martelada e cinzelada]],[[Descrição::Placa de parede com representação de mulher segurando cordeiro e ramo de folhagem. ]],"[[Dimensões::13 x 11 x 1,5]]",[[Núcleo::Prataria - Exposição]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Acessórios de Interiores]],Imagem:M0435.jpg,[[Imagem:M0435.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Itália]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Prataria - Exposição]][[Categoria:Classificação/Interiores/Acessórios de Interiores]]
M-0436,[[Título::caixa]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::Inglaterra]],[[Material::Prata]],[[Descrição::Sem descrição]],"[[Dimensões::3,7 x 4,1 x 3,1]]",[[Núcleo::Prataria - Exposição]],[[Classificação]]/[[Embalagens\Recipientes?]],Imagem:M0436.jpg,[[Imagem:M0436.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Inglaterra]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Prataria - Exposição]][[Categoria:Classificação/Embalagens\Recipientes?]]
M-0437,[[Título::xícara]],[[Autoria de::Autor desconhecido]],[[Datação::Século XX]],[[Origem::China]],[[Material::Prata cinzelada]],[[Descrição::Sem descrição]],"[[Dimensões::3,6 x 5,5 x 4,0]]",[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Utensílios de Cozinha\Mesa]],Imagem:M0437.jpg,[[Imagem:M0437.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Interiores/Utensílios de Cozinha\Mesa]]
M-0438,[[Título::castiçal]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]],[[Origem::Itália]],[[Material::Prata]],[[Descrição::Par (M-0439). Para uma vela.]],"[[Dimensões::14,5 x 5,8 x 5,4]]",[[Núcleo::Prataria - Exposição]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Objetos de Iluminação]],Imagem:M0438.jpg,[[Imagem:M0438.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Itália]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Prataria - Exposição]][[Categoria:Classificação/Interiores/Objetos de Iluminação]]
M-0439,[[Título::castiçal]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]],[[Origem::Itália]],[[Material::Prata]],[[Descrição::Par (M-0438). Para uma vela]],"[[Dimensões::14,5 x 6,0 x 5,5]]",[[Núcleo::Prataria - Exposição]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Objetos de Iluminação]],Imagem:M0439.jpg,[[Imagem:M0439.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Itália]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Prataria - Exposição]][[Categoria:Classificação/Interiores/Objetos de Iluminação]]
M-0440,[[Título::escrivaninha feminina (bureau en pente ou Bureau en dos D'âne)]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]]/[[SubDatação::c.1870]],[[Origem::Áustria ]],[[Material::Madeiras  de nogueira e frutífera com marchetaria e desenhos gravados à tinta; bronze dourado.]],"[[Descrição::Estilo Luis XV e de época Napoleão III. Folheado por dentro e por fora. Com nove gavetas, uma porta inclinada (aberta serve para escrever), um nicho. Decorada com ornamentos florais, envelope com pena de escrever e brasão decorativo. Bronzes aplicados nas duas pernas frontais. ]]","[[Dimensões::Aberta: 60,6 x 61,3 x 98,2 ap. Fechada: 60,6 x 39,8 x 98,2]]",[[Núcleo::Mobiliário Europeu]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Peças de Mobiliário]],Imagem:M0440.jpg,[[Imagem:M0440.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Áustria ]][[Categoria:Data/Século XIX/c.1870]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores/Peças de Mobiliário]]
M-0441,[[Título::retrato de dama]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]],[[Origem::Itália]],[[Material::aquarela sobre pergaminho. ]],[[Descrição::Sem descrição]],"[[Dimensões::11,8 x 9,1 (área visível)]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Pintura ]]/[[SubSubClassificação:: Miniaturas]],Imagem:M0441.jpg,[[Imagem:M0441.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Itália]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Pintura/Miniaturas]]
M-0442,[[Título::fauno]],[[Autoria de::Victor Brecheret]],[[Datação::Século XX]],[[Origem::Brasil]],[[Material::Terracota.]],[[Descrição::Sem descrição]],"[[Dimensões::25 x 15,2 x 11cm]]",[[Núcleo::Arte Brasileira - Século XX]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura]],Imagem:M0442.jpg,[[Imagem:M0442.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Victor Brecheret]][[Categoria:Origem/Brasil]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Brasileira - Século XX]][[Categoria:Classificação/Artes Visuais/Escultura]]
M-0443,[[Título::pia de água benta]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]],[[Origem::Peru]],[[Material::Prata moldada em alto-relevo]],[[Descrição::Sem descrição]],"[[Dimensões::31 x 26,2 x 6,5 ap.]]",[[Núcleo::Prataria - Exposição]],[[Classificação]]/[[Classificação::Objetos Cerimoniais ]]/[[SubClassificação:: Objetos de Culto]],Imagem:M0443.jpg,[[Imagem:M0443.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Peru]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Prataria - Exposição]][[Categoria:Classificação/Objetos Cerimoniais/Objetos de Culto]]
M-0444,[[Título::zeus (cabeça)]],[[Autoria de::Autor desconhecido]],[[Datação::Século V a.C]],[[Origem::Grécia]],[[Material::Mármore esculpido]],[[Descrição::Sem descrição]],"[[Dimensões::20,4 x 13 x 11cm  ap.]]",[[Núcleo::Antiguidade Clássica]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura]],Imagem:M0444.jpg,[[Imagem:M0444.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Grécia]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Antiguidade Clássica]][[Categoria:Classificação/Artes Visuais/Escultura]]
M-0445,[[Título::Guan-Di (general chinês)]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX\XX]],[[Origem::China]],"[[Material::terracota com pigmento em cor amarela, vidrada.]]","[[Descrição::Divindade taoísta, patrono dos soldados e policais.]]","[[Dimensões::36 x 26 x 26,2 cm]]",[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura]],Imagem:M0445.jpg,[[Imagem:M0445.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Artes Visuais/Escultura]]
M-0446,[[Título::boi]],[[Autoria de::Autor desconhecido]],[[Datação::Século XX]],[[Origem::Bali]],[[Material::Madeira entalhada policromada.]],[[Descrição::Sem descrição]],"[[Dimensões::28,3 x34,2 x 13,5 cm]]",[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura]],Imagem:M0446.jpg,[[Imagem:M0446.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Bali]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Artes Visuais/Escultura]]
M-0447,[[Título::recipiente]],[[Autoria de::Civilização Chavin]],[[Datação::Século IX-II a.C]],[[Origem::Peru Pré-Colombiano]]/[[SubOrigem::Serra Norte]],[[Material::Cerâmica pintada com alto-relevo; madeira policromada.]],"[[Descrição::Recipiente bi-compartimentado e pintado, com figuras de felinos em alto relevo nas laterais e figura de morcego sobre o compartimento anterior.]]","[[Dimensões::22,1 x 17,4 x 9,5 cm.]]",[[Núcleo::Arte Pré-Colombiana]],[[Classificação]]/[[Embalagens\Recipientes?]],Imagem:M0447.jpg,[[Imagem:M0447.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Civilização Chavin]][[Categoria:Origem/Peru Pré-Colombiano/Serra Norte]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Pré-Colombiana]][[Categoria:Classificação/Embalagens\Recipientes?]]
M-0448,[[Título::]],[[Autoria de::Autor desconhecido]],[[Datação::Data desconhecida]],[[Origem::Peru Pré-Colombiano (?)]],"[[Material::Cerâmica pintada em cor preta, com alto-relevo.]]",[[Descrição::Sem descrição]],[[Dimensões::medição não realizada]],[[Núcleo::Arte Pré-Colombiana]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Utensílios de Cozinha\Mesa]],Imagem:M0448.jpg,[[Imagem:M0448.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Peru Pré-Colombiano (?)]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Pré-Colombiana]][[Categoria:Classificação/Interiores/Utensílios de Cozinha\Mesa]]
M-0449,[[Título::recipiente]],[[Autoria de::Civilização Mochica (?)]],[[Datação::Século I-VI d.C]],[[Origem::Peru Pré-Colombiano]]/[[SubOrigem::Costa Norte]],[[Material::cerâmica pintada]],"[[Descrição::Cântaro zoomórfico com asa de estribo, representando um felino.]]","[[Dimensões::25,2 x 13 x 17,5cm]]",[[Núcleo::Arte Pré-Colombiana]],[[Classificação]]/[[Embalagens\Recipientes?]],Imagem:M0449.jpg,[[Imagem:M0449.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Civilização Mochica (?)]][[Categoria:Origem/Peru Pré-Colombiano/Costa Norte]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Pré-Colombiana]][[Categoria:Classificação/Embalagens\Recipientes?]]
M-0450,[[Título::Estatueta masculina]],[[Autoria de::Grupo Cultural Baabwa]],[[Datação::Século XIX(?)]],[[Origem::República Democrática do Congo]],[[Material::Madeira entalhada ]],"[[Descrição::com características de estilos tabwa, boyo e de outros povos avizinhados na região do lago Tanganyka]]","[[Dimensões::31,3 x 6,8 x 10,1 cm]]",[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura Religiosa]],Imagem:M0450.jpg,[[Imagem:M0450.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Grupo Cultural Baabwa]][[Categoria:Origem/República Democrática do Congo]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Artes Visuais/Escultura Religiosa]]
M-0451,[[Título::estatueta]],[[Autoria de::Grupo Cultural Bakuba]],[[Datação::Século XIX(?)]],[[Origem::República Democrática do Congo]],[[Material::Madeira entalhada.]],"[[Descrição::estilo lele, com traços de arte kuba]]","[[Dimensões::34,5 x 9,8 x 9,7cm]]",[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura Religiosa]],Imagem:M0451.jpg,[[Imagem:M0451.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Grupo Cultural Bakuba]][[Categoria:Origem/República Democrática do Congo]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Artes Visuais/Escultura Religiosa]]
M-0452,[[Título::Escultura Baulê]],[[Autoria de::Grupo Cultural Baulê]],[[Datação::Século XIX(?)]],[[Origem::Costa do Marfim]],[[Material::Madeira entalhada.]],[[Descrição::Sem descrição]],"[[Dimensões::35 x 7,4 x 7,0cm]]",[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura Religiosa]],Imagem:M0452.jpg,[[Imagem:M0452.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Grupo Cultural Baulê]][[Categoria:Origem/Costa do Marfim]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Artes Visuais/Escultura Religiosa]]
M-0453,"[[Título::BASTÃO (ogó), escultura emblemática de Exu]]",[[Autoria de::Grupo Cultural Iorubá]],[[Datação::Século XX(?)]],[[Origem::Nigéria]],[[Material::Madeira entalhada.]],[[Descrição::Sem descrição]],"[[Dimensões::36,7 x 7,9 x 10,3cm]]",[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Objetos Cerimoniais ]]/[[SubClassificação:: Objetos de Culto]],Imagem:M0453.jpg,[[Imagem:M0453.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Grupo Cultural Iorubá]][[Categoria:Origem/Nigéria]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Objetos Cerimoniais/Objetos de Culto]]
M-0454,[[Título::Escultura Ashanti]],[[Autoria de::Grupo Cultural Ashanti]],[[Datação::Século XX(?)]],[[Origem::Gana]],[[Material::Madeira entalhada e pintada]],[[Descrição::Simbolo de fertilidade e beleza utilizado como boneca pelas crianças]],"[[Dimensões::32,9 x 15,0 x 4,3cm]]",[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura]],Imagem:M0454.jpg,[[Imagem:M0454.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Grupo Cultural Ashanti]][[Categoria:Origem/Gana]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Artes Visuais/Escultura]]
M-0455,[[Título::BASTÃO (oxê) com emblema de Xangô]],[[Autoria de::Grupo Cultural Iorubá]],[[Datação::Século XX]],[[Origem::Nigéria]],[[Material::Madeira entalhada.]],[[Descrição::Sem descrição]],"[[Dimensões::39,6 x 8,3 x 6,0cm]]",[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Objetos Cerimoniais ]]/[[SubClassificação:: Objetos de Culto]],Imagem:M0455.jpg,[[Imagem:M0455.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Grupo Cultural Iorubá]][[Categoria:Origem/Nigéria]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Objetos Cerimoniais/Objetos de Culto]]
M-0456,[[Título::BASTÃO (oxê) com emblema de Xangô]],[[Autoria de::Grupo Cultural Iorubá]],[[Datação::Século XX(?)]],[[Origem::Nigéria]],[[Material::madeira entalhada e pintada.]],[[Descrição::Sem descrição]],"[[Dimensões::51 x 22,3 x 9,5 cm ap.]]",[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Objetos Cerimoniais ]]/[[SubClassificação:: Objetos de Culto]],Imagem:M0456.jpg,[[Imagem:M0456.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Grupo Cultural Iorubá]][[Categoria:Origem/Nigéria]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Objetos Cerimoniais/Objetos de Culto]]
M-0457,[[Título::Esculura Mossi]],[[Autoria de::Grupo Cultural Mossi]],[[Datação::Século XX]],[[Origem::Burkina Faso]],[[Material::Madeira entalhada e revestida em couro]],"[[Descrição::Rad Kamba: Rad - boneca; Kamba - criança. Figura de fertilidade, também conhecidas como Bonecas Mossi]]","[[Dimensões::33,4 x 5,8 x 11cm]]",[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura Religiosa]],Imagem:M0457.jpg,[[Imagem:M0457.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Grupo Cultural Mossi]][[Categoria:Origem/Burkina Faso]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Artes Visuais/Escultura Religiosa]]
M-0458,[[Título::Topo de máscara (?) com escultura emblemática de Exu]],[[Autoria de::Grupo Cultural Iorubá]],[[Datação::Século XX]],[[Origem::Nigéria]],[[Material::madeira entalhada pintada; tecido de algodão; tecido de lã.]],[[Descrição::Sem descrição]],[[Dimensões::28 x 21 d. ap. ]],[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Objetos Cerimoniais ]]/[[SubClassificação:: Objetos de Culto]],Imagem:M0458.jpg,[[Imagem:M0458.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Grupo Cultural Iorubá]][[Categoria:Origem/Nigéria]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Objetos Cerimoniais/Objetos de Culto]]
M-0459,[[Título::Topo de máscara]],[[Autoria de::Autor desconhecido]],[[Datação::Século XX]],[[Origem::Gabão\Congo Brazzaville]],[[Material::madeira entalhada e policromada]],[[Descrição:: semelhante às do tipo okuyi]],"[[Dimensões::25,2 x 15,7 x 15,2 cm]]",[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura]],Imagem:M0459.jpg,[[Imagem:M0459.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Gabão\Congo Brazzaville]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Artes Visuais/Escultura]]
M-0460,[[Título::figura de relicário]],[[Autoria de::Grupo Cultural Obamba]],[[Datação::Século XX]],[[Origem::Gabão]],[[Material::madeira entalhada; metais em lâminas.]],[[Descrição::Sem descrição]],"[[Dimensões::47,5 x 25,5 x 6,4cm ap.]]",[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Objetos Cerimoniais ]]/[[SubClassificação:: Objetos de Culto]],Imagem:M0460.jpg,[[Imagem:M0460.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Grupo Cultural Obamba]][[Categoria:Origem/Gabão]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Objetos Cerimoniais/Objetos de Culto]]
M-0461,[[Título::Estatueta]],[[Autoria de::Grupo Cultural Songye]],[[Datação::Século XX]],[[Origem::República Democrática do Congo]],[[Material::madeira entalhada e pintada; chifre.]],"[[Descrição::de estilo próximo aos nkhisi songye dos beneki, belande e nilembabwe do sudoeste]]","[[Dimensões::35,5 x 6,8 x 11,9cm ap.]]",[[Núcleo::Arte Africana]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura Religiosa]],Imagem:M0461.jpg,[[Imagem:M0461.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Grupo Cultural Songye]][[Categoria:Origem/República Democrática do Congo]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Africana]][[Categoria:Classificação/Artes Visuais/Escultura Religiosa]]
M-0462,[[Título::bastão cerimonial]],[[Autoria de::Civilização Chimu - Costa Norte (?)]],[[Datação::Século X-XV]],[[Origem::Peru Pré-Colombiano]],[[Material::Madeira entalhada]],[[Descrição::Bastão de madeira esculpido com figura masculina (divindade?) na parte superior.]],"[[Dimensões::30,7 x 5,0 x 3,0]]",[[Núcleo::Arte Pré-Colombiana]],[[Classificação]]/[[Classificação::Objetos Cerimoniais ]]/[[SubClassificação:: Objetos de Culto]],Imagem:M0462.jpg,[[Imagem:M0462.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Civilização Chimu - Costa Norte (?)]][[Categoria:Origem/Peru Pré-Colombiano]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Pré-Colombiana]][[Categoria:Classificação/Objetos Cerimoniais/Objetos de Culto]]
M-0463,[[Título::porta-retrato]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::Inglaterra]],[[Material::Prata?; madeira]],[[Descrição::Fundo em madeira. Com vidro de proteção transparente.]],"[[Dimensões::27,3 x 20,7cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Acessórios de Interiores]],Imagem:M0463.jpg,[[Imagem:M0463.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Inglaterra]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores/Acessórios de Interiores]]
